nom,rayon,masse,periode_orbite,annee,distance
TOI-2202 b,10.95117414,287.31687993,11.91260750000,2021,235.93300000
TOI-2207 b,11.15293580,203.41018048,8.00196800000,2022,373.34500000
TOI-2236 b,14.36991326,502.16888306,3.53159020000,2022,355.59000000
TOI-2328 b,9.97599282,50.85254512,17.10197000000,2025,231.78200000
TOI-2338 b,11.20898070,1900.61387386,22.65398000000,2023,313.99600000
TOI-2364 b,8.60849718,71.51139158,4.01975170000,2023,219.61400000
TOI-2379 b,11.72459381,1830.69162432,5.46938270000,2024,211.24700000
TOI-238 c,2.18000000,6.70000000,8.46565100000,2024,80.54070000
TOI-2384 b,11.48920522,624.85064816,2.13570304000,2024,191.51000000
TOI-2416 b,9.86390302,953.48522100,8.27547900000,2023,557.73300000
TOI-2421 b,10.36830715,105.83685953,4.34740320000,2022,327.92700000
TOI-244 b,1.52000000,2.68000000,7.39722500000,2023,22.03370000
TOI-2447 b,9.60609646,124.90656395,69.33684000000,2024,148.98700000
TOI-2458 b,2.83000000,13.31000000,3.73659000000,2024,112.95800000
TOI-2497 b,11.14172682,1531.93292174,10.65566900000,2023,285.28900000
TOI-2524 b,11.20898070,203.41018048,7.18585000000,2023,438.84200000
TOI-2525 c,10.13291855,208.81326340,49.25190000000,2023,395.39800000
TOI-2570 b,13.64132951,260.61929374,2.98876150000,2022,361.85700000
TOI-2580 b,17.37392009,200.23189641,3.39775000000,2024,379.25300000
TOI-2583 A b,14.45958510,79.45710175,4.52072650000,2023,566.18900000
TOI-2589 b,12.10569916,1112.39942450,61.62770000000,2023,200.27300000
TOI-260 b,1.71000000,4.23000000,13.47585300000,2024,20.18520000
TOI-2669 b,19.72780603,193.87532827,6.20340000000,2022,393.44300000
TOI-270 b,1.20600000,1.58000000,3.36015380000,2019,22.47930000
TOI-2714 b,13.72000000,228.00000000,2.49938700000,2024,597.87300000
TOI-2796 b,17.26183028,139.84449908,4.80849830000,2023,350.34300000
TOI-2803 A b,18.11371281,309.88269682,1.96229325000,2023,494.81800000
TOI-2818 b,15.27784069,225.65816897,4.03970900000,2023,312.67400000
TOI-2981 b,13.40000000,638.00000000,3.60150100000,2024,527.78900000
TOI-3023 b,16.43236571,197.05361234,3.90149710000,2023,389.91600000
TOI-3235 b,11.39953337,211.35589065,2.59261842000,2023,72.81100000
TOI-3321 b,15.55806521,176.07693748,3.65251450000,2024,285.89500000
TOI-3362 b,12.80065596,1598.35905880,18.09547000000,2021,366.98700000
TOI-3693 b,12.59889431,324.18497514,9.08851600000,2022,176.43600000
TOI-3757 b,12.00000000,85.30000000,3.43875300000,2022,181.13900000
TOI-3785 b,5.14000000,14.95000000,4.67473730000,2023,79.76340000
TOI-3807 b,18.49481816,330.54154328,2.89897270000,2023,421.74500000
TOI-3837 b,10.87271128,187.51876013,11.88865000000,2025,311.70500000
TOI-3894 b,15.27784069,260.61929374,4.33454000000,2024,417.36500000
TOI-3912 b,14.28024141,129.03833324,3.49362640000,2023,465.99200000
TOI-3984 A b,7.90000000,44.00000000,4.35332600000,2023,108.88300000
TOI-4010 d,6.18000000,38.15000000,14.70886000000,2023,177.50400000
TOI-406 c,1.32000000,2.08000000,3.30744100000,2024,31.05970000
TOI-406.01,2.08000000,6.57000000,13.17568200000,2024,31.05970000
TOI-411 b,1.36200000,13.71000000,4.04029500000,2022,62.77920000
TOI-4127 b,12.28504285,731.00533610,56.39879000000,2023,319.63200000
TOI-4137 b,13.57407563,457.67290608,3.80161220000,2022,334.99300000
TOI-4201 b,13.67495645,788.21444936,3.58191940000,2023,189.01100000
TOI-421 b,2.68000000,7.17000000,5.19672000000,2020,74.79690000
TOI-431 d,3.29000000,9.90000000,12.46103000000,2021,32.56860000
TOI-4377 b,15.10970598,304.16178550,4.37808100000,2023,455.82000000
TOI-4406 b,11.20898070,95.34852210,30.08364000000,2023,261.83400000
TOI-4463 A b,13.26022417,252.35575516,2.88071980000,2023,173.11700000
TOI-4551 b,11.85910158,473.56432643,9.95581000000,2023,215.98600000
TOI-4562 b,12.53000000,732.00000000,225.11781000000,2023,339.60500000
TOI-4582 b,10.53644186,168.44905571,31.03400000000,2023,383.84600000
TOI-4600 b,6.80000000,959.84178914,82.68690000000,2023,216.05600000
TOI-4641 b,8.18255591,1229.99593509,22.09341000000,2023,86.35010000
TOI-480 b,2.85372018,20.80000000,6.86619600000,2024,54.53060000
TOI-4860 b,8.47398941,212.94503269,1.52275959000,2023,80.14230000
TOI-4914 b,12.87000000,227.00000000,10.60057000000,2024,299.89000000
TOI-5005 b,6.25000000,32.70000000,6.30850440000,2024,207.89100000
TOI-5108 b,6.60000000,32.00000000,6.75358100000,2025,130.91900000
TOI-512 b,1.54000000,3.57000000,7.18886000000,2025,67.39750000
TOI-519 b,11.87031056,166.85991368,1.26523248000,2021,115.55700000
TOI-5205 b,11.60000000,343.00000000,1.63075700000,2023,86.44930000
TOI-5218 b,9.86000000,657.00000000,4.29145200000,2024,377.48300000
TOI-5232 b,12.77823800,743.71847238,4.09666920000,2024,609.38800000
TOI-5301 b,13.09208946,1182.32167404,5.85885800000,2024,629.16100000
TOI-532 b,5.82000000,61.50000000,2.32665080000,2021,135.04700000
TOI-5344 b,10.60369574,130.94530368,3.79262200000,2023,138.36700000
TOI-544 b,2.01800000,2.89000000,1.54835200000,2022,41.11660000
TOI-5542 b,11.30986153,419.53349724,75.12375000000,2022,348.84900000
TOI-559 b,12.22899794,1910.14872607,6.98390950000,2021,233.26600000
TOI-561 b,1.42500000,2.00000000,0.44656880000,2020,85.79900000
TOI-561 c,2.91000000,6.60000000,10.77883100000,2020,85.79900000
